,id_object,addres_object,developer_object,group_company,amount_floors,amount_apartments,area,commissioning,picture
72,33457,"город Хабаровск, улица Бондаря, д. 3, блок-секция 2",ФГУП ГВСУ № 6,-,9,56,3 424,I кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/5edfb1ad-9500-429d-8043-f3a50d0585d3
73,33458,"город Хабаровск, улица Бондаря, д. 4, блок-секция 4",ФГУП ГВСУ № 6,-,12,160,9 733,I кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/a0a40851-a83c-414c-8e40-906e7a73b6ab
74,33456,"г Хабаровск, улица Бондаря, д. 1, блок-секция 3",ФГУП ГВСУ № 6,-,12,278,10 216,I кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/65f0fe31-2eed-4cf1-b0c4-3bb73761db55
75,41003,"г Хабаровск, район Индустриальный, ул Морозова Павла Леонтьевича, д. 20",ООО СЗ ГРАДЪ СЕРВИС,-,24,248,18 794,II кв. 2024,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/316066c4-c80a-40a7-9e2c-e4b62bda4c34
76,31696,"г Хабаровск, ул Заозёрная, д. 36",ООО КЕТОМ,Компания КЕТОМ,11,38,3 178,I кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/f79f6b96-19e7-4c30-b974-8a4721e51673
77,4783,"г Хабаровск, улица Карла Маркса, строение 2",ООО ИКАС,СтройЭкспертиза,2,-,-,II кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/ea1fbc14-9368-4509-8f8b-c0c62e4c2765
78,4782,"г Хабаровск, улица Карла Маркса, строение 2",ООО ИКАС,СтройЭкспертиза,2,-,-,II кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/cf8dd970-d7ce-4f71-afee-98c1b3cb9e49
79,3333,"г Хабаровск, Центральный район, ул Ленина, д. 12,14",ООО К-РИШУВИЛ,Керенг,30,279,20 690,IV кв. 2024,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/985d8779-142a-488d-842e-ee4a8eb4e6e4
80,37371,"г Хабаровск, район Краснофлотский, ул. Стрельникова, строение 8",ООО ИНТЕР,МОЙ ВЫБОР,16,215,10 620,IV кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/c0838b17-9d65-4caa-a068-9c635ec92f85
81,37372,"г Хабаровск, район Краснофлотский, ул. Стрельникова, строение 8",ООО ИНТЕР,МОЙ ВЫБОР,2,-,-,IV кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/3bcc97a7-f6ce-43ca-8cb1-a622ec91b3fb
82,38245,"г Хабаровск, ул Ворошилова, д. 2а",ООО СЗ ТАЛАН-РЕГИОН-22,Талан,17,198,12 026,II кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/bf8f6d0b-1650-490f-92b0-767da4de477a
